CONCEPTO,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23
Total,29328,32878,29802,29294,33932,30702
Primaria,10141,10318,11290,11298,10680,10846
Escuela Vocacional de Arte,...,64,...,...,...,60
Escuela de Iniciación Deportiva,...,68,...,...,...,37
Media,17140,20118,17570,16622,21640,18434
Secundaria básica,11281,11027,10094,9594,9418,10311
Escuela Vocacional de Arte,...,47,...,...,...,...
Escuela de Iniciación Deportiva,...,173,...,...,...,...
Preuniversitario,3706,3606,4016,3734,3706,3332
Escuela de Iniciación Deportiva,...,80,...,...,...,...
Técnica y profesional,4153,5185,3460,3294,...,...
Técnico medio,2153,1518,1983,2090,5686,2310
Obrero calificado,2000,1973,1477,1204,1218,1059
Centros politécnicos-otros organismos,...,300,...,...,...,...
Formación de personal pedagógico,-,-,...,...,...,...
Adultos,1460,1870,441,829,1049,859
Educación Obrero Campesina,153,98,71,7,15,12
Secundaria Obrero Campesina,139,166,115,202,104,27
Facultad Obrero Campesina,815,899,81,375,635,608
Idiomas,353,247,174,245,295,212
Especial,587,572,501,545,563,563
