CONCEPTO,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
Total,77745,78137,76371,76925,72537,70544
Circulos infantiles,4820,4899,5144,5276,5081,5005
Castias infantiles,-,-,-,-,-,156
Preescolar,4260,4035,4012,3765,3621,3725
Primaria,33080,33133,32213,31320,29930,28637
Urbana,20940,21014,20479,2160,18930,18264
Rural,12140,11942,11734,1605,11000,10373
Media,30526,30959,30122,30152,27683,27013
Secundaria básica,15456,14670,15053,15477,15593,15384
De ello: En el campo,1437,1329,1307,1330,1199,1254
Preuniversitario,7986,7803,7520,7166,6626,6472
De ello: En el campo,1537,1474,1609,1456,1362,1108
Ciencias exactas,649,665,694,677,561,410
Técnica y profesional,5609,5771,5729,5699,3916,3966
En Centros Politécnicos,5552,5721,5701,5616,3840,3847
Oficios,57,50,28,83,76,119
Centros Politécnicos Otros Organismos,...,676,...,...,...,...
Formación de Personal Pedagógico (a),1475,1606,1820,1810,1548,1191
Adultos,3840,3903,3705,3539,3453,2935
de ello:
Educación obrero campesina,169,46,34,28,22,22
Secundaria obrero campesina,145,204,166,120,118,60
Facultad obrero campesina idioma,2849,3038,2901,2752,2597,2178
Curso preparatorio para ingreso a la educación superior,672,612,604,639,716,675
Especial,1219,1195,1175,1164,1136,1121
Otros Organismos Formadores,...,13,...,9,27,143
