CONCEPTO,Total,Gibara,Rafael Freyre,Banes,Antilla Báguanos,Holguin,Calixto García,Cacocum,Unbano Norte,Cueto,Mayari,Pratín País,Sagua de Tanamo,Mora
Total,148816,8644,7652,7688,3201,6171,54520,6852,5899,5163,4241,13559,2826,5814,11586
Círculos infantiles,10257,268,500,534,121,336,4667,159,421,171,256,1072,215,276,1261
Casitas infantiles,389,-,25,10,-,18,147,-,24,8,-,30,9,-,118
Prescolar,7598,625,388,502,243,402,2241,456,299,370,246,694,150,402,580
Primaria,58505,3903,3005,3256,1249,2847,20396,3148,2424,2347,1928,5389,1263,2542,4808
Media,54975,3325,3363,2835,1339,2027,20961,2529,2186,1809,1560,5489,982,2203,4367
Secundaria básica,31000,2011,1704,1719,820,1183,11062,1631,1383,1113,997,2842,676,1302,2557
Preuniversitario,10624,757,517,718,214,325,4143,466,351,376,286,1073,233,392,773
Técnica y profesional,11641,557,1142,398,305,519,4565,432,452,320,277,1055,73,509,1037
En Centros Politécnicos,10746,557,1142,398,305,519,3953,432,452,320,277,772,73,509,1037
De ello: Oficios,895,-,-,-,-,-,612,-,-,-,-,283,-,-,-
Centros politécnicos-otros organismos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Formación de Personal Pedagógico,1710,-,-,-,-,-,1191,-,-,-,-,519,-,-,-
Adultos,4965,386,142,336,162,336,1339,451,
Curso preparatorio para ingreso a la educación s,239,-,-,-,-,-,239,-,-,-,-,-,-,-,-
Especial,3455,137,229,215,87,205,1097,109,411,174,165,418,131,255,259
Otros Organismos Formadores,3433,-,-,-,-,-,3433,-,-,-,-,-,-,-,-

