CONCEPTO,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
Total,160096,161734,156007,158258,148365,143816
Circulos infantiles,9979,10024,10149,10867,10459,10257
Castias Infantiles,-,-,-,-,-,389
Preescolar,8722,8159,8291,7749,7416,7598
Primaria,68001,68008,65950,63975,61271,58505
Urbana,42929,42928,41929,40610,38751,37199
Rural,25072,24804,24021,23365,22520,21306
Media,62496,63495,61417,62411,56671,54975
Secundaria básica,31490,30683,30708,31712,31679,31000
De ello: En el campo,2930,2708,2715,2757,2510,2540
Pneumiersitario,12472,12491,11810,11366,10694,10624
De ello: En el campo,2448,2315,2506,2317,2200,1777
Ciencias exactas,1029,1058,1122,1102,907,683
Técnica y profesional,16413,17921,16152,16631,12039,11641
En Centros Politécnicos,15888,15869,16018,15504,11100,10746
Oficios,525,593,134,1127,939,895
Centros Politécnicos Otros Organismos,...,1459,...,...,...,...
Formación Personal Pedagógico (a),2121,2400,2747,2702,2259,1710
Adultos,7331,8404,6581,6224,5805,4965
de ello:
Educación obrero campesina,575,758,40,117,85,36
Secundaria obrero campesina,538,1100,304,369,279,207
Facultad obrero campesina,5026,5347,5139,4627,4278,3673
Idioma,1184,1196,1098,1111,1163,1049
Curso preparatorio para ingreso a la educación superior,...,33,...,17,52,239
Especial,3567,3611,3619,3544,3451,3455
Otros Organismos Formadores,...,...,...,3471,3240,3433
