CONCEPTO,2019/20,2020/21,2021/22,2022/23,2023/24
Total,18229,13617,13435,9442,9607
Técnico medio,10387,10960,10803,7109,7636
Geologia, minería y metalurgia,841,980,1011,753,845
Energética,458,571,613,430,451
Construcción de maquinarias,1292,1394,1057,516,544
Industrias azucarera, química y alimenticia,180,171,127,97,93
Electrónica, automatización y comunicaciones,173,169,149,56,16
Transporte,1544,1686,1823,1299,1275
Construcción,433,485,414,257,219
Producción agropecuaria,1106,1152,1214,966,1235
Economía,3986,3996,3996,2336,2483
Otras,374,356,399,399,475
Obrero calificado,2842,2657,2632,2333,1971
Transporte,191,69,91,150,159
Otras(a),2651,2588,2541,2183,1812
