CONCEPTO,Total,Gibara,Rafael Freyre,Banes,Antilla,Báquanos,Holguín,Calixto García,Cacocum,Urbano Noris,Cueto,Mayari,Frank Pais,Sagua,Moa
Total,18973,1492,967,1019,450,1068,5941,1054,810,845,642,1972,512,1259,1042
Círculos infantiles,1426,50,75,56,27,57,600,24,79,35,30,146,31,44,172
Prescolar,1167,116,78,78,30,80,230,93,57,68,36,96,39,117,49
Primaria,8229,695,449,463,195,532,2042,537,382,413,287,872,266,655,441
Media,6263,548,314,368,169,312,1893,355,247,263,262,667,144,381,340
Secundaria básica,3101,267,160,208,101,168,750,210,115,125,151,344,93,218,191
Preuniversitario,1192,152,45,77,31,48,419,55,30,50,42,93,43,62,45
Técnica y profesional,1820,129,109,83,37,96,617,90,102,88,69,187,8,101,104
En Centros Politécnicos,1785,129,109,83,37,96,582,90,102,88,69,187,8,101,104
De ello: Oficios,35,-,-,-,-,-,35,-,-,-,-,-,-,-,-
Centros politécnicos-otros organismos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Formación de Personal Pedagógico,150,-,-,-,-,-,107,-,-,-,-,43,-,-,-
Adultos,346,42,8,20,10,27,118,16,18,12,7,23,11,24,10
Especial,741,41,43,34,19,60,257,29,27,54,20,68,21,38,30
Otros Organismos Formadores,801,-,-,-,-,-,801,-,-,-,-,-,-,-,-
