CONCEPTO,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
Total,18120,19103,19181,20455,19667,18973
Círculos infantiles,1202,1179,1368,1461,1490,1426
Prescolar,1142,1190,1198,1208,1178,1167
Primaria,8319,8593,8731,8592,8429,8229
Media,6241,6674,6666,6871,6350,6263
Secundaria básica,3096,3093,3196,3313,3113,3101
Preuniversitario,1283,1228,1302,1340,1214,1192
Técnica y profesional,1654,2164,1981,2034,1855,1820
En Centros Politécnicos,1625,1791,1951,1997,1819,1785
De ello: Oficios,29,29,30,37,36,35
Centros politécnicos-otros organismos,...,344,...,...,...,...
Formación de Personal Pedagógico,208,189,187,184,168,150
Adultos,396,378,378,385,368,346
Educación obrero campesina,9,17,2,2,2,2
Secundaria obrero campesina,5,-,1,-,-,-
Facultad obrero campesina,336,323,331,337,304,301
Idiomas,46,38,44,46,62,43
Especial,820,812,840,793,768,741
Otros Organismos Formadores,...,...,...,1145,1084,801
