CONCEPTO,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
Total,23431,22647,23847,25812,24817,23907
Circulos infantiles,1648,1622,1767,1829,1816,1750
Prescolar,1186,1142,1198,1208,1178,1167
Primaria,11628,11454,11984,12008,11737,11334
Media,7202,6707,7181,7895,7461,7182
Secundaria básica,3566,3354,3480,3882,3806,3605
Preuniversitario,1521,1395,1420,1593,1443,1420
Técnica y profesional,1857,1725,2072,2200,2009,1978
De ello: Oficios,47,32,33,41,43,41
Formación de Personal Pedagógico,258,233,209,220,203,179
Adultos,414,398,380,391,374,350
Educación obrero campesina,17,9,2,2,2,2
Secundaria obrero campesina,24,5,1,-,-,-
Facultad obrero campesina,326,338,333,343,310,305
Idiomas,47,46,44,46,62,43
Especial,1353,1324,1337,1272,1109,1058
Otros Organismos Formadores,...,...,...,1209,1142,1066
