3,CONCEPTO,  1985/86,  1986/87,  1987/88,  1988/89,  1989/90,  1990/91,  1991/92,  1992/93,  1993/94,  1994/95,  1995/96,  1996/97,  1997/98,  1998/99,  1999/00,  2000/01,  2001/02,  2002/03,  2003/04,  2004/05,  2005/06,  2006/07,  2007/08,  2008/09,  2009/10,  2010/11,  2011/12,2012/13,  2013/14,  2014/15,  2015/16,  2016/17,  2017/18,  2018/19,  2019/20,  2020/21,  2021/22
6,Total,620983,569017,563965,557488,522862,520372,459046,424114,422176,397754,383788,422278,412959,435279,475863,471434,495472,500447,500582,558746,582670,640347,639691,673234,609434,554830,539139,497142,469288,404735,400507,394885,386787,371939,377651,369772,404055
7, Primaria,195506,178503,175096,154978,138796,133365,124353,122390,142238,144872,146940,167729,154140,165469,172510,170639,173265,160126,149230,144224,138682,138151,130848,141060,138210,138003,132556,128163,129670,126590,117874,110566,102743,103369,110680,118347,114812
8,  Urbana,137957,128013,126148,113863,102521,99134,92833,91811,105995,110127,111336,126975,116840,126334,130971,129072,131393,122385,114540,110044,107070,107471,102695,110728,109392,108555,104306,101389,101875,99714,92524,87557,81709,82286,87974,94767,91762
9,  Rural,57549,50490,48948,41115,36275,34231,31520,30579,36243,34745,35604,40754,37300,39135,41539,41567,41872,37741,34690,34180,31612,30680,28153,30332,28818,29448,28250,26774,27795,26876,25350,23009,21034,21083,22706,23580,23050
10, Media,301749,309109,301995,326991,309868,306669,259455,232681,215865,189004,176490,196696,204211,213892,242363,239949,262399,276043,276081,286545,294837,290519,294714,273004,261965,250462,257965,255662,258240,216426,229190,229006,226429,213274,207166,195163,224190
11,  Secundaria básica,153139,174423,166212,159857,150566,141334,122543,108309,101650,93834,94537,114466,123829,128878,150679,138957,150967,160304,162023,167382,154744,144062,140273,134626,132699,125257,134708,132456,130844,125185,120017,122375,119664,112528,112528,98908,99031
12,    De ello: En el campo,41185,46027,45834,41673,37692,32029,25896,20370,16719,14414,13470,16776,18811,21703,27043,25746,28 650,31 223,33 136,33930,29914,26504,24639,21320,17439,12337,11793,10482,10311,9624,9102,9393,8790,7781,7273,6229,6459
13,  Preuniversitario,40212,43239,46462,60191,62338,65141,58423,53321,41402,26149,20156,22319,20308,23406,29574,32599,35403,42814,39912,44015,55250,55537,70085,66029,51004,52156,53346,44972,43915,29133,46326,45105,43932,43798,43798,42602,39373
14,    De ello: En el campo,26757,28692,28332,36245,36320,39470,32799,29361,22823,16771,13211,13682,13168,15302,19504,21748,21 979,21 224,18 555,23919,32820,32405,45944,41389,25909,8688,5873,3897,4023,4694,4869,4864,5062,5011,5106,4862,4078
15,  Técnica y profesional,97334,80353,76823,98457,87590,91184,75728,66106,69706,67007,61215,59527,60074,61608,62110,68393,76029,72925,74146,75148,84843,90920,84356,70975,76208,71353,67906,75373,77457,55690,58272,57743,59044,52944,46190,47358,79316
16,    Técnico medio,62951,58214,53189,72838,65918,70919,59777,50657,52352,50273,46846,41274,38143,36834,37116,44276,52500,55561,59364,63830,73584,78976,73951,62128,66904,57958,45948,34651,38759,17151,25152,25166,31951,28818,29838,34144,69260
17,      Ministerio de Educación,39556,35482,35554,53126,43914,53493,46821,43534,45344,45266,41348,34849,32717,31586,32094,40021,46971,49117,53687,59109,66352,75118,71327,59873,62404,54664,41592,30985,34107,11489,18129,17183,21832,21575,23583,28448,63579
18,      Otros organismos,23395,22732,17635,19712,22004,17426,12956,7123,7008,5007,5498,6425,5426,5248,5022,4255,5529,6444,5677,4721,7232,3858,2624,2255,4500,3294,4356,3666,4652,5662,7023,7983,10119,7243,6255,5696,5681
19,    Obrero calificado,34383,22139,23634,25619,21672,20265,15951,15449,17354,16734,14369,18253,21931,24774,24994,24117,23529,17364,14782,11318,11259,11944,10405,8847,9304,13395,21958,40722,38698,38539,33120,32577,27093,24126,16352,13214,10056
20,      Ministerio de Educación (a),24939,15154,16574,16705,13734,13315,14089,13084,16067,15145,13877,16394,20112,22996,23479,22119,21666,16867,14416,10936,10993,11872,10331,8799,9202,13274,21749,40393,38552,37965,32500,31947,26733,23659,16041,12829,9932
21,      Otros organismos,9444,6985,7060,8914,7938,6950,1862,2365,1287,1589,492,1859,1819,1778,1515,1998,1863,497,366,382,266,72,74,48,102,121,209,329,146,574,620,630,360,467,311,385,124
22,  Formación de personal pedagógico,11064,11094,12498,8486,9374,9010,2761,4945,3107,2014,582,384,                  -,                  -,-,-,-,-,-,-,-,-,-,1374,2054,1696,2005,2861,6024,6418,4575,3783,3789,4004,4650,6295,6470
23,    Ministerio de Educación,9746,9842,11475,7458,8397,8144,2061,4250,2508,1395,464,384,                  -,                  -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,    Otros organismos,1318,1252,1023,1028,977,866,700,695,599,619,118,                  -,                  -,                  -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25, Escuela de Trabajadores Sociales,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,                 -,6718,6828,2010,7164,8209,1222,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26, Especial,2155,2644,2897,2963,3044,3247,3215,4469,4490,3524,3944,4080,4012,4203,4273,4341,4403,4698,5053,5275,5494,5628,5403,5101,6068,4975,5147,5676,5425,5901,5713,5271,5371,5240,5136,4699,4694
27, Adultos,97994,51155,53995,39357,36010,37717,34432,30030,28568,28648,28912,30070,31183,34777,39948,39369,37312,34450,43426,96801,104139,153085,136029,179224,118412,75633,53911,37300,21580,19557,23759,26564,29900,27253,19016,7796,18704
28,  Educación Obrero Campesina ,11592,7730,6670,5752,4202,3076,3234,2445,2259,1736,2484,3171,4673,5367,7301,7224,4679,3920,8713,2486,5101,6879,5517,4677,2401,3568,2782,1771,2684,2410,2353,2968,2765,2180,870,169,389
29,  Secundaria Obrero Campesina,60029,13859,12258,9364,9177,6420,4613,3363,2514,2534,3828,4267,6153,7920,11285,10330,9879,8687,12940,11484,31221,68428,47291,32267,9300,7779,6812,4238,5048,4132,4162,4838,4337,4474,1766,1392,2485
30,  Facultad Obrero Campesina,19247,22487,27270,17100,15170,20182,18950,15596,14220,13495,13995,14226,13197,14723,14785,15584,17157,16851,17120,16174,19485,28966,40390,103733,98060,59069,39285,26274,9364,8036,11945,13661,16956,15192,14749,3062,12497
31,    Idiomas,7126,7079,7797,7141,7461,8039,7635,8626,9575,10883,8605,8406,7160,6767,6577,6231,5597,4992,4653,5513,4933,4990,5097,5593,5101,5217,5032,5017,4484,4979,5299,5097,5842,5407,1631,3173,3333
32,  Curso de Superación Integral para Jóvenes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47761,26768,33658,31138,28195,2508,-,-,-,-,-,-,-,-,-,-,-,-
33,  Cursos del Ministerio del Azúcar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13383,16631,10164,6596,4759,1042,-,-,-,-,-,-,-,-,-,-,-,-
34, Superior,23579,27606,29982,33199,35144,39374,37591,34544,31015,31706,27502,23703,19413,16938,16769,17136,18093,18412,19964,23891,32354,44755,71475,74845,84779,85757,89560,70341,54373,36261,23971,23478,22344,22803,35653,43767,41655
35,   Ministerio de Educación Superior,11575,10949,11464,11237,11662,10513,12148,10278,11648,11631,10501,8476,7131,5591,5300,5641,6097,6351,7860,7671,8695,9336,12740,17950,23538,28070,34942,31253,23561,16653,14194,14050,13953,13042,22132,27649,25937
36,   Ministerio de Educación,6783,11194,12140,14246,16476,20885,18438,15494,10558,10938,8833,7587,6106,6090,5817,5771,6065,5821,7315,8316,12972,23016,23485,17340,18049,18395,15219,11761,5016,1718,162,-,-,-,-,-,-
37,   Ministerio de Salud Pública,3758,3462,4328,4960,6051,6342,5235,6789,6604,7029,6213,6313,4952,4597,4846,4708,4941,5116,3632,5807,8540,8396,24441,22841,26596,25591,28745,24889,22670,16082,9015,9135,8098,9450,13277,15890,15498
