3,CONCEPTO, 1985/86, 1986/87, 1987/88, 1988/89, 1989/90, 1990/91, 1991/ 92, 1992/93, 1993/94, 1994/95, 1995/96, 1996/97, 1997/98, 1998/99, 1999/00, 2000/01, 2001/02, 2002/03, 2003/04, 2004/05, 2005/06, 2006/07, 2007/08, 2008/09, 2009/10, 2010/11, 2011/12, 2012/13, 2013/14, 2014/15, 2015/16,,CONCEPTO,  2011/12,  2012/13,  2013/14,  2014/15,  2015/16,  2016/17,  2017/18,  2018/19,  2019/20,2020/21,2021/22
6,Total,449491,438958,451008,487998,514303,541798,548147,545704,562173,532087,543099,524630,543608,521759,529313,537181,539201,521405,635615,856091,960873,982113,961629,959915,986069,935323,908940,894170,893631,719742,719405,,Total,1022105,1011756,1011417,834885,834850,820414,813545,812841,824312,798423,836369
7, Prescolar (a),21260,23918,29897,49024,51920,59185,51917,55969,56411,50966,52831,51335,49530,48385,49179,51115,50391,53155,56827,58814,57119,58198,58456,57476,55604,52550,48597,50428,55222,59377,59266,, Círculos Infantiles,134042,138609,139820,137445,137406,135833,136052,134264,134898,137564,142355
8, Primaria ,315695,313422,309207,316929,323353,339405,344576,354306,365848,360571,361339,367407,369147,372511,372013,369574,363273,359422,368974,378259,389218,397272,397008,400592,391297,372807,353799,344367,338636,331587,333702,,     De ello: Preescolar,20877,21023,22034,22302,21961,22016,21413,22119,21453,21587,22086
9,   Urbana,304223,303684,299356,307066,310888,328152,332944,342819,353137,348273,348553,354448,356037,359091,357669,354485,347976,344034,353375,362205,372735,380397,380081,383095,374536,356716,338657,329703,323986,317182,318640,, Preescolar en escuela Primaria,27720,29405,33188,37075,37305,38663,37155,37885,37612,34397,33672
10,   Rural,11472,9738,9851,9863,12465,11253,11632,11487,12711,12298,12786,12959,13110,13420,14344,15089,15297,15388,15599,16054,16483,16875,16927,17497,16761,16091,15142,14664,14650,14405,15062,,     Urbano,25950,27604,31158,34951,34969,36347,34948,35588,35325,32134,31505
11, Media (b),73588,65042,75602,81224,89777,88596,107250,88244,101740,86617,93402,69426,85611,59192,65895,71564,84874,73526,173474,361273,419809,417446,407255,400628,461826,458811,444645,440742,442329,268647,261726,,     Rural,1770,1801,2030,2124,2336,2316,2207,2297,2287,2263,2167
12,  Secundaria básica,6807,5524,6343,6470,6724,7293,6338,7182,8432,8417,10246,8139,8321,7781,7232,8170,9403,7934,108236,295961,346715,337697,334120,329682,354672,363185,374712,369881,370156,190876,182154,, Primaria ,353799,344367,338636,331587,333702,336783,347024,358993,368997,363132,362648
13,  Preuniversitario,1487,460,213,435,815,1255,593,1230,1818,1924,1734,3672,552,550,403,534,254,198,42,70,82,6226,6044,9989,34528,25451,13298,8636,8183,8922,9414,,  Urbana,338657,329703,323986,317182,318640,321647,331354,342829,352330,346862,345213
14,  Técnica y profesional ( b ),64729,58378,69020,74071,80844,75488,95857,77648,89691,75484,80984,57503,76738,50861,58260,62860,75217,65394,65196,65242,73012,72394,66262,59058,70826,65837,50574,53394,53645,59571,62162,,  Rural,15142,14664,14650,14405,15062,15136,15670,16164,16667,16270,17435
15,    Técnico medio,42141,34217,43943,49365,57230,51641,...,45693,52089,45614,42856,37434,38282,29169,35998,40988,42474,51122,52106,53738,63470,64480,60438,53025,60959,51945,29851,30644,30531,37210,41116,, Media ,444645,440742,442329,268647,261726,248287,231765,217056,210774,196845,230261
