3,RAMAS DE LA CIENCIA, 1985/86, 1986/87, 1987/88, 1988/89, 1989/90, 1990/91, 1991/92, 1992/93, 1993/94, 1994/95, 1995/96, 1996/97, 1997/98, 1998/99, 1999/00, 2000/01, 2001/02, 2002/03, 2003/04, 2004/05, 2005/06, 2006/07, 2007/08, 2008/09, 2009/10, 2010/11, 2011/12, 2012/13, 2013/14, 2014/15, 2015/16, 2016/17,2017/18,2018/19,2019/20,2020/21,2021/22
6,Total (a),235224,256619,263233,250604,242366,242434,224568,198474,165843,140815,122346,125730,120284,115816,118335,128403,144553,192864,273054,361845,487539,658134,743979,710978,606863,473309,351116,261465,207237,173298,165926,218643,224944,240813,257347,288219,285696
7,   Ciencias técnicas,32450,32425,31779,29059,29819,37226,35005,33373,28820,21708,17985,15753,13888,13020,13474,14514,16032,20134,25758,30264,34117,37935,42741,46054,42773,39871,36100,34820,32723,30204,29557,30870,30346,30496,29766,32274,31596
8,   Ciencias naturales y matemáticas,7028,7528,7389,6692,6399,6522,5638,5797,5923,5510,5174,4931,4579,4087,4019,3828,3955,3934,3975,3970,3838,3812,3922,4075,4441,4550,4500,4511,4442,4399,4428,4419,4365,4350,4328,4126,4559
9,   Ciencias agropecuarias,15718,14970,13598,11372,11606,10377,9577,9126,8352,8131,6567,5194,4946,4680,4984,5125,5256,5039,5906,6488,7487,12952,16034,17365,14394,11661,9378,7187,6509,5481,5149,9799,10250,11740,12219,15566,15858
10,   Ciencias económicas,25908,27966,25287,19881,18789,13651,11597,8277,6826,5426,4893,7437,9290,10270,12059,13569,16486,20307,32059,34627,50897,80577,93162,82003,57836,47056,36121,25618,17807,13059,11997,17811,18477,19931,21004,24192,25027
11,   Ciencias sociales y humanísticas,8143,8413,8193,7901,7958,7404,7470,6824,6277,5736,5366,17370,18161,5781,15078,15546,18400,33898,52403,71619,113297,175106,205992,195404,150326,113284,77243,51465,33995,22254,17733,21224,20853,22355,23719,27103,29533
12,   Ciencias Pedagógicas,107399,123423,131032,125013,115529,111212,98378,77688,57493,48169,41487,38152,35352,35068,36359,38892,48759,68782,92392,76770,113244,128062,125095,113473,94649,67935,43700,30383,22338,19656,19841,45442,43664,47073,54170,66304,66940
13,   Ciencias médicas,27859,30367,33777,36521,37305,38006,37672,38469,36660,33437,29999,27536,25311,34688,23457,24606,25767,27702,42257,106658,117574,159526,187690,188534,189069,148483,118914,93132,76933,69760,69734,76329,81837,87215,92025,95534,89333
14,   Ciencias de la Cultura física y el Deporte,10023,10779,11455,13270,14052,17017,18229,17928,14547,11859,10135,8650,7946,7464,8000,11269,8909,11787,16922,29989,45668,58677,67578,61624,52148,39099,23792,12949,11044,7018,6031,11318,13769,16274,18700,21600,21376
15,   Ciencias del Arte,696,748,723,895,909,1019,1002,992,945,839,740,707,811,758,905,1054,989,1281,1382,1460,1417,1487,1511,1486,1227,1370,1368,1400,1446,1467,1456,1431,1383,1379,1416,1520,1474
16,  Facultad Preparatoria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,254,960,-,-,-,-,-,-,-,-,-,-,-,-,-

