3,RAMAS DE LA CIENCIA, 1985/86, 1986/87, 1987/88, 1988/89, 1989/90, 1990/91, 1991/92, 1992/93, 1993/94, 1994/95, 1995/96, 1996/97, 1997/98, 1998/99, 1999/00, 2000/01, 2001/02, 2002/03, 2003/04, 2004/05, 2005/06, 2006/07, 2007/08, 2008/09, 2009/10, 2010/11, 2011/12, 2012/13, 2013/14, 2014/15, 2015/16, 2016/17, 2017/18, 2018/19, 2019/20, 2020/21
6,Total,23579,27606,29982,33199,35144,39374,37591,34544,31015,31706,27502,23703,19413,16938,16769,17136,18093,18412,19964,23891,32354,44755,71475,74845,84779,85757,89560,70341,54373,36261,23971,22344,22803,35653,43767,41655
7,   Ciencias técnicas,4229,5028,4281,4329,5099,4834,4907,4836,5532,5189,5204,3928,2829,2067,1890,2055,1977,2030,2363,2573,3016,4078,4770,5383,5779,5407,5922,5360,5401,4940,4669,4176,4003,4533,4474,5029
8,   Ciencias naturales y matemáticas,862,904,958,921,1000,919,825,844,856,799,951,958,1022,769,756,577,631,567,601,553,561,583,559,607,559,572,621,621,709,693,663,663,571,641,829,968
9,   Ciencias agropecuarias,2513,1925,2399,2129,1791,1538,1450,1316,2039,2029,1395,1211,939,854,638,770,775,824,899,799,808,823,729,1061,1153,1349,2709,1932,1624,1147,683,885,820,767,1302,2242
10,   Ciencias económicas,2888,2590,2950,3121,2928,2017,3229,1572,1646,1456,1127,758,718,624,722,948,1268,1804,2251,2282,2569,2408,3056,4486,5412,6914,10159,7472,5285,2670,1880,1595,1680,1765,2694,3923
11,   Ciencias sociales y humanísticas,1330,1059,1254,1277,1393,1329,1372,1324,1198,1250,841,1180,1250,1074,1228,1177,1254,963,1541,1464,1845,2911,5446,8161,12655,15418,17515,14976,9695,5304,3143,1955,1958,1985,3584,3886
12,   Ciencias Pedagógicas,6783,11137,12078,14195,16385,20885,18817,15859,10636,10975,8891,7456,6020,6057,5742,5696,5963,5769,7315,8316,12972,23016,23485,17340,18049,18395,15219,12601,5449,2866,2226,4121,3087,10236,10438,7472
13,   Ciencias médicas,3678,3462,4328,4960,6051,6342,5235,6789,6604,7029,6213,6313,4952,4597,4846,4708,4941,5116,3632,5807,8540,8396,24441,22841,26596,25591,28745,24889,22670,16082,9015,8098,9450,13277,15890,15498
14,   Ciencias de la Cultura física y el Deporte,1224,1375,1665,2145,400,1415,1660,1926,2411,2840,2782,1803,1603,786,847,1085,1182,1191,1166,1890,1941,2309,8786,14777,14357,11905,8441,2132,3323,2358,1459,584,962,2232,4355,2444
15,   Ciencias del Arte,72,126,69,122,97,95,96,78,93,139,98,96,80,110,100,120,102,148,196,207,102,231,203,189,219,206,229,358,217,201,233,267,272,217,201,193
