3,CONCEPTO,1985/86,1986/87,1987/88,1988/89,1989/90,1990/91,  1991/92,  1992/93,  1993/94,  1994/95,  1995/96,  1996/97,  1997/98,  1998/99,  1999/00,  2000/01,  2001/02,  2002/03,  2003/04,  2004/05,  2005/06,  2006/07,  2007/08,  2008/09,  2009/10,  2010/11,  2011/12,  2012/13,  2013/14,  2014/15,  2015/16,,CONCEPTO,  2011/12,  2012/13,  2013/14,  2014/15,  2015/16,  2016/17,  2017/18,2018/19,2019/20,2020/21,2021/22
6,Total ,210325,209002,212113,216175,218009,208867,207847,204891,197051,172421,177351,174280,171890,168968,168951,178522,186427,210256,226321,229610,237955,256082,263721,270053,266465,263906,253212,242258,236492,230921,226703,,Total ,269723,259419,252789,246589,242103,248438,240958,238314,245061,255744,257910
7,    De ello: Mujeres (a),117946,128654,130057,134477,136357,123041,121076,130140,117517,105895,109999,112276,108944,107521,107205,123981,121314,134025,143636,147524,152253,170449,168531,173863,172241,171090,165524,158064,153285,152475,159355,,Círculos infantiles,18072,18878,18070,17321,17352,16636,15297,15541,14983,17476,18291
8, Prescolar,4635,5152,5996,6345,6474,6980,6813,6968,6933,6512,6806,6605,6640,6215,6116,7267,7398,8624,9000,8977,8853,9074,9094,9458,9420,9236,8872,9362,9830,9958,10339,,   De ello: Mujeres,18072,18878,18070,17321,17352,16636,15297,15541,14983,17476,18291
9, Primaria,63558,61490,59819,58732,57415,55984,59110,60228,59832,57518,61102,62161,60859,59468,58833,60587,63190,77775,79613,77925,80087,81916,80862,81975,82983,80562,78351,75000,74296,74133,74610,,   De ello: Preescolar ,1561,1717,1773,1653,1873,1567,1899,1548,1572,1597,1642
10,    De ello: Mujeres,45999,44703,43455,42949,42232,42012,43513,44394,43416,43403,45658,47152,55062,43920,45722,47596,49698,60284,60902,60196,61388,61885,61675,63450,64116,62504,61240,59728,59260,60563,60217,, Prescolar,7311,7645,8057,8305,8466,8577,8452,8377,8686,8886,9099
11,   Urbana,37932,37299,36341,35972,35344,35137,...,37887,37450,35829,38024,38431,37816,37179,36731,38127,40760,48601,50254,49304,51123,52342,51686,52197,52618,52444,50049,47476,46623,46884,46932,,   De ello: Mujeres,7311,7645,8057,8305,8466,8577,8452,8377,8686,8886,9099
12,   Rural,25626,24191,23478,22760,22071,20847,...,22341,22382,21689,23078,23730,23043,22289,22102,22460,22430,29174,29359,28621,28964,29574,29176,29778,30365,28118,28302,27524,27673,27249,27678,,  Urbana,4490,4548,4706,4856,5027,5054,4974,4904,5018,5138,5290
13, Media,100561,100817,104572,108612,109169,100897,96949,93136,87485,70010,71457,67915,68127,67613,68457,75567,79488,82577,87024,88235,90197,96475,93415,89555,89397,90658,94929,91455,89560,85067,81726,,  Rural,2821,3097,3351,3449,3439,3523,3478,3473,3668,3748,3809
14,    De ello: Mujeres,43562,44829,46710,49449,50059,48000,44894,43948,41070,33138,36587,37496,36509,36725,37503,41143,43372,41446,43893,46198,50387,53453,50463,49009,48659,49738,53136,53899,54801,53903,51585,, Primaria,78351,75000,74296,74133,74610,73816,72146,71754,75750,79219,81064
15,  Secundaria básica,49586,49270,48453,47463,46470,41376,40671,39679,38613,32908,35482,35957,35566,34668,34408,38894,40713,37241,41264,44043,44282,43716,43305,41741,39018,38734,43626,43152,43137,41131,39280,,   De ello: Mujeres,61240,59728,59260,60563,60217,59525,58186,57994,62677,64294,69115
16,    De ello: En el campo,13571,14285,13901,12973,12247,9881,9195,8139,7177,5785,6065,6180,6556,6771,7028,8746,8353,7851,8640,9262,9064,8860,8539,7825,6523,4740,5063,4934,5051,4756,4391,,  Urbana,50049,47476,46623,46884,46932,46222,45145,44988,47742,50086,51510
17,  Preuniversitario,14131,15589,17343,20410,21861,20199,19096,15835,13064,9049,9112,8461,8730,9151,9648,11486,12419,16839,17705,15503,19158,22248,21180,20054,22411,20084,19972,17744,16880,16479,15758,,  Rural,28302,27524,27673,27249,27678,27594,27001,26766,28008,29133,29554
18,    De ello: En el campo,8874,9330,10191,12068,13057,11495,10607,9158,7604,6012,5752,5321,5427,5608,5935,6941,6414,6407,7246,8344,11167,12157,11383,10862,8351,3677,3027,2908,2622,2576,2437,, Media,93525,91455,89560,85067,81647,78355,74196,71924,74231,76606,77521
19,  Formación de personal pedagógico,7114,6631,6739,7335,7388,6816,3628,1621,1675,627,301,193,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,-,-,-,815,-,-,-,-,-,,    De ello: Mujeres,53136,53899,54801,53903,51585,49965,47101,46619,47376,46919,53031
20,    Ministerio de Educación,6340,5929,5989,6634,6797,6396,3323,1339,1393,345,188,76,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,-,-,-,-,-,-,-,-,-,,  Secundaria básica,43626,43152,43137,41131,39280,37449,35431,33355,33892,35124,35532
21,    Otros organismos,774,702,750,701,591,420,305,282,282,282,113,117,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,                 -,-,-,-,-,-,-,-,-,-,,   Urbana,38563,38218,38086,36375,34889,33255,31457,29771,30324,31493,31898
22,  Técnica y profesional,29730,29327,32037,33404,33450,32506,33554,36001,34133,27426,26562,23304,23831,23794,24401,25187,26356,28497,28055,28689,26757,30511,28930,27760,27968,31025,28573,28664,27269,25143,24444,,   Rural,5063,4934,5051,4756,4391,4194,3974,3584,3568,3631,3634
23,    Ministerio de Educación (b),21321,21159,23250,24811,24978,24685,27031,27790,27477,21923,20707,19226,18455,18170,18910,19841,20982,21954,22844,24212,24014,27062,27378,26241,27052,29779,26314,24737,22447,21174,19900,,  Preuniversitario,19972,17744,16880,16479,15758,14909,14309,13603,13862,14221,14166
24,    Otros organismos,8409,8168,8787,8593,8472,7821,6523,8211,6656,5503,5855,4078,5376,5624,5491,5346,5374,6543,5211,4477,2743,3449,1552,1519,916,1246,2259,3927,4822,3969,4544,,   Urbana,16945,14836,14258,13903,13321,12517,11889,11449,11701,11977,12008
