EDUCACIONES,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020
Total,6788,7810,9381,9359,9341,9402
Primaria,160,230,198,267,144,144
Urbana,-,-,62,77,-,-
Rural,160,230,136,113,87,144
Escuela Vocacional de Arte,-,-,-,32,34,-
Escuela Integral Deporte Escolar,-,-,-,45,23,-
Media,5461,6413,5858,5500,5101,4781
Secundaria basica,1816,2258,1853,1652,1544,1525
Preuniversitario,1627,1890,1852,1741,1631,1496
Técnica y profesional,2018,2265,2153,2107,1926,1760
Especial,557,557,506,464,419,427
Formaci6on personal pedagdgico,610,610,684,927,1391,1712
Superior,0,0,2135,2201,2286,2338
