EDUCACIONES,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019
Total,10273,12837,13026,9112,8963,8528
Primaria,3307,6400,6082,2668,2552,2577
Media,5838,5662,5997,5444,5516,4985
Secundaria basica,3336,3271,3099,3120,3077,2806
Preuniversitario,1308,1330,1622,1523,1484,1546
Técnica y profesional,1194,1061,1276,801,955,633
Técnico medio,1142,978,1213,726,757,510
Obrero calificado,24,10,-,12,23,18
Otros organismos,28,73,63,63,175,105
Especial,131,110,119,89,112,81
Formacion personal pedagdégico,332,412,346,207,175,298
Escuela de deportes,-,-,-,-,-,32
Escuela de arte,-,-,-,-,-,14
Adultos,665,253,482,704,608,541
