EDUCACIONES,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020
Total,100217,108190,99284,98317,98114,99194
Primaria,43723,42908,41643,41973,42111,42457
Urbana,25572,25099,24019,24394,24743,24852
Rural,17837,17610,17434,17378,17190,17414
Escuela Integral de Deporte Escolar,46,34,34,45,23,37
Escuela Vocacional de Arte,268,165,156,156,155,154
Media,37349,37548,35111,33694,32271,31320
Secundaria basica,20895,21026,18657,17814,16653,15766
Urbana,16126,17117,15190,14507,13599,12776
Rural,4038,3391,2960,2745,2575,2439
Escuela Integral de Deporte Escolar,466,411,399,426,349,417
Escuela Vocacional de Arte,265,107,108,136,130,134
Preuniversitario,7632,8020,7808,7781,7844,7371
Urbana,3916,4131,4188,4354,4539,4211
Rural,2149,2307,2310,2099,1960,1710
Ciencias exactas,980,996,1043,1047,1063,1152
Pedagdgicos,323,323,-,-,-,-
Escuela Integral de Deporte Escolar,264,263,267,281,282,298
Técnica y profesional,8822,8502,8646,8099,7774,8183
Centros politécnicos del Ministerio de Educacién,8357,7834,7749,7097,6862,6919
Escuelas de oficios,217,225,237,219,199,192
Centros politécnicos de otros organismos,248,443,660,783,713,1072
Especial,2372,2329,2276,2131,2069,1984
Formacién personal pedagdgico,2105,1489,1314,1676,2235,2693
Curso de Lengua Espanola Historia y Matematica,1145,779,74,73,75,34
Curso preparatorio,146,146,-,-,-,-
Adultos,4919,5675,5507,5538,4941,4573
Educacién Obrero Campesina (EOC),1440,1612,915,690,340,233
Secundaria Obrero Campesina (SOC),170,220,683,765,636,398
Facultad Obrero Campesina (FOC),2692,3030,3175,3254,3189,3151
Idiomas,617,813,734,829,776,791
Superior,8458,17316,13359,13232,14412,16133
Universidad de Guantanamo,2256,4619,8154,7793,8836,10543
Ciencias Pedagdégicas,1307,2676,-,-,-,-
Universidad de Ciencias Médicas,4895,10021,5205,5439,5576,5590
