EDUCACIONES,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020
Total,12868,14561,14013,14398,14192,14453
Primaria,5211,5502,5309,5315,5369,5408
Urbana,2241,2484,2372,2306,2395,2349
Rural,2970,3018,2937,3009,2974,3059
Media,5144,5109,4431,4789,4474,4595
Secundaria basica,2908,2818,2496,2555,2350,2355
Urbana,2247,2258,1983,2081,1913,1901
Rural,661,560,513,474,437,454
Preuniversitario,1024,995,834,919,888,886
Urbana,540,522,455,507,472,466
Rural,339,326,265,281,285,291
Ciencias exactas,145,147,114,131,131,129
Técnica y profesional,1212,1296,1101,1315,1236,1354
Centros politécnicos del Ministerio de Educacion,1096,1174,989,1103,1103,1233
Centros politécnicos de otros organismos,76,87,83,178,94,84
Escuelas de oficios,40,35,29,34,39,37
Especial,549,522,464,497,497,499
Formacion personal pedagdgico,188,173,150,195,186,259
Escuela de deportes,68,118,128,132,247,133
Escuela de arte,29,49,106,106,106,136
Adultos,248,252,182,205,191,166
Educacién Obrero Campesina (EOC),12,15,11,3,4,1
Secundaria Obrero Campesina (SOC),1,2,11,12,12,9
Facultad Obrero Campesina (FOC),220,216,141,173,159,136
Idiomas,15,19,19,17,16,20
Superior,1431,2836,3243,3159,3122,3257
Universidad de Guantanamo,507,1005,1293,1382,1476,1613
Ciencias Pedagdgicas,160,316,-,-,-,-
Universidad de Ciencias Médicas,764,1515,1950,1777,1646,1644
