  
CONCEPTOS,Matriculatotal,Poblacién en edad escolar,Tasa bruta de matricula
Nifios 2014,25320,19615,129.1
Nifias 2014,18403,18438,99.8
indice de paridad de género 2014,0,0,0.77
Nifios 2015,23686,19244,123.1
Nifias 2015,19222,18035,106.6
indice de paridad de género 2015,0,0,0.87
Nifios 2016,21346,19219,111.1
Nifias 2016,20297,18002,112.7
indice de paridad de género 2016,0,0,1.02
Nifios 2017,21477,19457,110.4
Nifias 2017,20485,18381,111.4
indice de paridad de género 2017,0,0,1.01
Nifios 2018,21520,18784,114.6
Nifias 2018,20591,19873,103.6
indice de paridad de género 2018,0,0,0.90
Nifios 2019,21675,20032,108.2
Nifias 2019,20782,18992,109.4
indice de paridad de género 2019,0,0,1.01
Nifios 2014,19329,22319,86.6
Nifias 2014,18020,21404,84.2
indice de paridad de género,0,0,0.97
Nifios 2015,17941,22114,81.1
Nifias 2015,19607,21085,93.0
indice de paridad de género,0,0,1.15
Nifios 2016,18034,21673,83.2
Nifias 2016,17077,20509,83.3
indice de paridad de género,0,0,1.00
Nifios 2017,16914,21036,80.4
Nifias 2017,15928,19840,80.3
indice de paridad de género,0,0,1.00
Nifios 2018,16657,18688,89.1
Nifias 2018,15614,19840,78.7
indice de paridad de género,0,0,0.88
Nifios 2019,16172,19002,85.1
Nifias 2019,15148,17854,84.8
indice de paridad de género,0,0,1.00
